i	j	l	x	y
1	2	200.844726	7.12515065878173E-05	7.12515065878173E-05
2	3	97.014566	3.44168060876203E-05	3.44168060876203E-05
2	7	469.58203	0.000166588527219	0.000166588527219
2	3	97.014566	3.44168060876203E-05	3.44168060876203E-05
3	6	134.484529	4.77096187430035E-05	4.77096187430035E-05
4	5	111.826279	3.96713969719055E-05	3.96713969719055E-05
3	6	134.484529	4.77096187430035E-05	4.77096187430035E-05
6	12	263.393935	9.34414115252577E-05	9.34414115252577E-05
6	27	307.949242	0.000109247814877	0.000109247814877
2	7	469.58203	0.000166588527219	0.000166588527219
7	8	30.664079	1.08783629542647E-05	1.08783629542647E-05
7	14	95.702836	3.39514578527036E-05	3.39514578527036E-05
7	8	30.664079	1.08783629542647E-05	1.08783629542647E-05
8	18	60.474492	2.14538800741669E-05	2.14538800741669E-05
8	21	94.922525	3.36746353766329E-05	3.36746353766329E-05
9	10	110.525216	3.92098329529645E-05	3.92098329529645E-05
9	13	42.816436	1.51895229338552E-05	1.51895229338552E-05
9	10	110.525216	3.92098329529645E-05	3.92098329529645E-05
10	11	188.323441	6.68094660202923E-05	6.68094660202923E-05
10	15	101.422578	3.59805887286302E-05	3.59805887286302E-05
10	11	188.323441	6.68094660202923E-05	6.68094660202923E-05
11	17	31.497642	1.11740770652036E-05	1.11740770652036E-05
11	24	98.834255	3.50623574314544E-05	3.50623574314544E-05
6	12	263.393935	9.34414115252577E-05	9.34414115252577E-05
9	13	42.816436	1.51895229338552E-05	1.51895229338552E-05
13	15	80.365815	2.85105091428082E-05	2.85105091428082E-05
13	45	155.119155	5.50299413606666E-05	5.50299413606666E-05
7	14	95.702836	3.39514578527036E-05	3.39514578527036E-05
14	20	162.452282	5.76314353463728E-05	5.76314353463728E-05
14	21	32.637357	1.15784014029547E-05	1.15784014029547E-05
13	15	80.365815	2.85105091428082E-05	2.85105091428082E-05
10	15	101.422578	3.59805887286302E-05	3.59805887286302E-05
15	16	4.871961	1.72837279922944E-06	1.72837279922944E-06
16	17	23.977042	8.50607531521327E-06	8.50607531521327E-06
16	19	22.198602	7.87515743203202E-06	7.87515743203202E-06
11	17	31.497642	1.11740770652036E-05	1.11740770652036E-05
16	17	23.977042	8.50607531521327E-06	8.50607531521327E-06
8	18	60.474492	2.14538800741669E-05	2.14538800741669E-05
18	25	50.892889	1.80547186280438E-05	1.80547186280438E-05
18	32	155.259798	5.50798357534177E-05	5.50798357534177E-05
18	38	118.282543	4.19618157749797E-05	4.19618157749797E-05
16	19	22.198602	7.87515743203202E-06	7.87515743203202E-06
19	26	38.343002	1.36025312389816E-05	1.36025312389816E-05
19	47	166.455096	5.90514702846604E-05	5.90514702846604E-05
14	20	162.452282	5.76314353463728E-05	5.76314353463728E-05
20	29	48.898847	1.73473139601244E-05	1.73473139601244E-05
20	30	150.036515	5.32268282560511E-05	5.32268282560511E-05
20	35	103.43383	3.6694098801719E-05	3.6694098801719E-05
8	21	94.922525	3.36746353766329E-05	3.36746353766329E-05
14	21	32.637357	1.15784014029547E-05	1.15784014029547E-05
21	38	78.056881	2.76913936530052E-05	2.76913936530052E-05
22	23	13.980368	4.95966362916649E-06	4.95966362916649E-06
22	28	46.344338	1.64410784892357E-05	1.64410784892357E-05
22	34	150.65578	5.34465181881985E-05	5.34465181881985E-05
22	23	13.980368	4.95966362916649E-06	4.95966362916649E-06
11	24	98.834255	3.50623574314544E-05	3.50623574314544E-05
24	31	27.902414	9.89863699451588E-06	9.89863699451588E-06
24	47	87.159432	3.09206070132925E-05	3.09206070132925E-05
18	25	50.892889	1.80547186280438E-05	1.80547186280438E-05
25	46	118.828757	4.21555901956203E-05	4.21555901956203E-05
25	49	105.806112	3.75356875748848E-05	3.75356875748848E-05
19	26	38.343002	1.36025312389816E-05	1.36025312389816E-05
26	45	59.59317	2.11412230204338E-05	2.11412230204338E-05
26	63	197.707208	7.01384433329405E-05	7.01384433329405E-05
6	27	307.949242	0.000109247814877	0.000109247814877
22	28	46.344338	1.64410784892357E-05	1.64410784892357E-05
20	29	48.898847	1.73473139601244E-05	1.73473139601244E-05
29	36	33.415593	1.18544877537652E-05	1.18544877537652E-05
29	37	37.39469	1.32661088690195E-05	1.32661088690195E-05
20	30	150.036515	5.32268282560511E-05	5.32268282560511E-05
30	37	96.475052	3.42254085533618E-05	3.42254085533618E-05
30	39	64.24141	2.27902287452929E-05	2.27902287452929E-05
24	31	27.902414	9.89863699451588E-06	9.89863699451588E-06
31	32	25.386425	9.00606684652815E-06	9.00606684652815E-06
31	56	104.744921	3.71592203455315E-05	3.71592203455315E-05
31	32	25.386425	9.00606684652815E-06	9.00606684652815E-06
18	32	155.259798	5.50798357534177E-05	5.50798357534177E-05
32	51	87.978477	3.12111707307247E-05	3.12111707307247E-05
33	34	87.212716	3.0939510000454E-05	3.0939510000454E-05
22	34	150.65578	5.34465181881985E-05	5.34465181881985E-05
34	59	194.348385	6.89468701018276E-05	6.89468701018276E-05
20	35	103.43383	3.6694098801719E-05	3.6694098801719E-05
35	40	20.918667	7.42108876465522E-06	7.42108876465522E-06
35	41	28.866895	1.02407954653603E-05	1.02407954653603E-05
29	36	33.415593	1.18544877537652E-05	1.18544877537652E-05
36	42	41.246326	1.46325120267896E-05	1.46325120267896E-05
36	44	31.185559	1.10633627618047E-05	1.10633627618047E-05
30	37	96.475052	3.42254085533618E-05	3.42254085533618E-05
29	37	37.39469	1.32661088690195E-05	1.32661088690195E-05
37	43	20.831549	7.39018285602351E-06	7.39018285602351E-06
18	38	118.282543	4.19618157749797E-05	4.19618157749797E-05
21	38	78.056881	2.76913936530052E-05	2.76913936530052E-05
38	39	9.527426	3.37994165903038E-06	3.37994165903038E-06
38	46	51.173927	1.81544194332739E-05	1.81544194332739E-05
38	39	9.527426	3.37994165903038E-06	3.37994165903038E-06
30	39	64.24141	2.27902287452929E-05	2.27902287452929E-05
39	55	49.998747	1.77375135618603E-05	1.77375135618603E-05
35	40	20.918667	7.42108876465522E-06	7.42108876465522E-06
40	41	20.340141	7.21585136598823E-06	7.21585136598823E-06
40	48	48.460565	1.71918294053031E-05	1.71918294053031E-05
40	41	20.340141	7.21585136598823E-06	7.21585136598823E-06
35	41	28.866895	1.02407954653603E-05	1.02407954653603E-05
41	141	323.483144	0.000114758608925	0.000114758608925
36	42	41.246326	1.46325120267896E-05	1.46325120267896E-05
42	44	35.427708	1.25683039840104E-05	1.25683039840104E-05
42	48	31.336683	1.11169753853275E-05	1.11169753853275E-05
